<---------------------------------------------------->
Verbosity is set to Low
<---------------------------------------------------->
High: Created Renderer Successfully
Low: C:/Users/jason/Desktop/GameFramework/GameFrameworkRepo/RomanEmpireGameJam/RomanEmpireGameJam/RomanEmpireGameJam/Asset/Helmet.png Meta data file exists
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Low: C:/Users/jason/Desktop/GameFramework/GameFrameworkRepo/RomanEmpireGameJam/RomanEmpireGameJam/RomanEmpireGameJam/Asset/Kenney Game Assets (version 40)/3D/3D Medieval town (65 models)/Preview.png Meta data file exists
Low: C:/Users/jason/Desktop/GameFramework/GameFrameworkRepo/RomanEmpireGameJam/RomanEmpireGameJam/RomanEmpireGameJam/Asset/Kenney Game Assets (version 40)/3D/3D Medieval town (65 models)/Sample.png Meta data file exists
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
Critical: Asset type is invalid
